학교명,지역,주소,우편번호
가야대학교(고령),경북,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교) ",40139
가야대학교(김해),경남,경상남도 김해시 삼계로 208 (삼계동) ,50830
가천대학교,경기,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교) ",13120
가톨릭관동대학교,강원,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교) ",25601
가톨릭대학교,경기,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정) ",14662
가톨릭대학교,서울,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정) ",06591
가톨릭대학교,서울,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정) ",03083
감리교신학대학교,서울,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학) ",03745
강남대학교,경기,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교) ",16979
강릉원주대학교,강원,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교) ",25457
강릉원주대학교,강원,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스) ",26403
강원대학교,강원,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교) ",24341
강원대학교,강원,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스) ",25913
건국대학교,서울,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",05029
건국대학교(글로컬),충북,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스) ",27478
건양대학교,충남,"충청남도 논산시 대학로 121 (내동, 건양대학교) ",32992
건양대학교,대전,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) ",35365
경기대학교,경기,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교) ",16227
경기대학교,서울,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ",03746
경남대학교,경남,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교) ",51767
경동대학교,강원,"강원도 고성군 토성면 봉포4길 46 (봉포리, 경동대학교) ",24764
경동대학교,강원,"강원도 원주시 문막읍 견훤로 815 (후용리, 경동대학교) ",26495
경동대학교,경기,경기도 양주시 경동대학로 27 (고암동) ,11458
경북대학교,대구,"대구광역시 북구 대학로 80 (산격동, 경북대학교) ",41566
경상국립대학교,경남,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교) ",52828
경성대학교,부산,"부산광역시 남구 수영로 309 (대연동, 경성대학교) ",48434
경운대학교,경북,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교) ",39160
경일대학교,경북,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교) ",38428
경주대학교,경북,"경상북도 경주시 태종로 188 (효현동, 경주대학교) ",38065
경희대학교,서울,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교) ",02447
계명대학교,대구,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스) ",42601
고려대학교,서울,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계)) ",02841
고려대학교(세종),세종,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스) ",30019
고신대학교,부산,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교) ",49104
공주대학교,충남,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교) ",32588
광신대학교,광주,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교) ",61027
광운대학교,서울,"서울특별시 노원구 광운로 20 (월계동, 광운대학교) ",01897
광주가톨릭대학교,전남,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교) ",58230
